"Inventory Reference","Inventories/Location","Inventories/Product","Inventories / Counted Quantity"
,"MKP/Stock","4891338003193",13
,"MKP/Stock","4891338003186",0
,"MKP/Stock","4891338007955",52
,"MKP/Stock","4891338007962",52
,"MKP/Stock","DARLIE-GT-160",11
,"MKP/Stock","DARLIE-JT-160",0
,"MKP/Stock","4891338040907",36
,"MKP/Stock","4891338040914",40
,"MKP/Stock","8993560022044",0
,"MKP/Stock","8993560022006",34
,"MKP/Stock","8993560022051",202
,"MKP/Stock","8993560022068",3
,"MKP/Stock","8993560022020",51
,"MKP/Stock","3073461",23
,"MKP/Stock","8993560028015",3
,"MKP/Stock","8993560026073",17
,"MKP/Stock","3073485",0
,"MKP/Stock","9556111609010",1
,"MKP/Stock","9556111621043",4
,"MKP/Stock","8993560026042",27
,"MKP/Stock","9556111621029",4
,"MKP/Stock","8993560026813",4
,"MKP/Stock","8993560026806",0
,"MKP/Stock","8888071610012",24
,"MKP/Stock","8993560026035",28
,"MKP/Stock","8888071610036",19
,"MKP/Stock","8993560026721",24
,"MKP/Stock","8993560026707",4
,"MKP/Stock","9556111621517",2
,"MKP/Stock","8993560026059",17
,"MKP/Stock","9556111621524",9
,"MKP/Stock","8993560026080",24
,"MKP/Stock","8993560026097",0
,"MKP/Stock","9556111410036",1
,"MKP/Stock","9556111410012",0
,"MKP/Stock","8993560027254",0
,"MKP/Stock","8993560027001",0
,"MKP/Stock","3028804",0
,"MKP/Stock","9556111620343",1
,"MKP/Stock","8993560027568",0
,"MKP/Stock","8993560027216",0
,"MKP/Stock","8993560027209",0
,"MKP/Stock","8993560027223",0
,"MKP/Stock","8993560027100",0
,"MKP/Stock","8993560027148",9
,"MKP/Stock","8993560027155",1
,"MKP/Stock","8993560027179",8
,"MKP/Stock","8993560027537",0
,"MKP/Stock","8993560027544",2
,"MKP/Stock","8993560027629",0
,"MKP/Stock","8993560027612",0
,"MKP/Stock","9300830042913",19
,"MKP/Stock","859581006532",0
,"MKP/Stock","8999999030605",1
,"MKP/Stock","8999999518370",0
,"MKP/Stock","4000388177000",0
,"MKP/Stock","8717163023839",0
,"MKP/Stock","8999999526634",19
,"MKP/Stock","9300830037803",16
,"MKP/Stock","9300830037810",0
,"MKP/Stock","8999999005580",4
,"MKP/Stock","8999999537302",5
,"MKP/Stock","859581006549",0
,"MKP/Stock","9300830037841",19
,"MKP/Stock","8999999039172",0
,"MKP/Stock","4902430928779",9
,"MKP/Stock","TW-DRENZIM-002-2",9
,"MKP/Stock","9412031260056",0
,"MKP/Stock","9412031260055",0
,"MKP/Stock","18787774328",0
,"MKP/Stock","9412031260058",0
,"MKP/Stock","18787111116",3
,"MKP/Stock","18787775080",7
,"MKP/Stock","18787765166",0
,"MKP/Stock","18787775325",0
,"MKP/Stock","18787767085",0
,"MKP/Stock","18787767160",0
,"MKP/Stock","18787767023",0
,"MKP/Stock","18787767320",0
,"MKP/Stock","18787764169",0
,"MKP/Stock","18787772324",0
,"MKP/Stock","18787762165",3
,"MKP/Stock","9412031260057",3
,"MKP/Stock","4710020050126",10
,"MKP/Stock","4710020050119",9
,"MKP/Stock","5038483223444",18
,"MKP/Stock","5038483158548",4
,"MKP/Stock","5038483158302",1
,"MKP/Stock","5038483158272",10
,"MKP/Stock","5038483158364",3
,"MKP/Stock","5038483158333",2
,"MKP/Stock","8993560155377",1
,"MKP/Stock","5038483223505",3
,"MKP/Stock","8104883",8
,"MKP/Stock","5038483193228",6
,"MKP/Stock","5038483163498",4
,"MKP/Stock","5038483273173",3
,"MKP/Stock","5038483432846",38
,"MKP/Stock","5038483274033",1
,"MKP/Stock","5038483158395",4
,"MKP/Stock","5038483158456",2
,"MKP/Stock","8993176816556",0
,"MKP/Stock","8993417206221",0
,"MKP/Stock","KINO0087",0
,"MKP/Stock","KINO0085",0
,"MKP/Stock","KINO0105",1
,"MKP/Stock","8993417200489",0
,"MKP/Stock","8712045027950",9
,"MKP/Stock","8712045028216",6
,"MKP/Stock","TP-8992980117156-2",18
,"MKP/Stock","8992980117118",38
,"MKP/Stock","VP-8992980117118-5",10
,"MKP/Stock","8992980117033",0
,"MKP/Stock","VP-8992980117033-4",11
,"MKP/Stock","8992980114001",0
,"MKP/Stock","VP-8992980114001-3",11
,"MKP/Stock","8992980117187",0
,"MKP/Stock","TP-8992980117187-2",0
,"MKP/Stock","8992980117279",12
,"MKP/Stock","VP-8992980117279-3",10
,"MKP/Stock","8992980117217",9
,"MKP/Stock","VP-8992980117217-3",2
,"MKP/Stock","8992980117101",1
,"MKP/Stock","TP-8992980117101-2",22
,"MKP/Stock","8998667101401",0
,"MKP/Stock","8997220240243",1
,"MKP/Stock","8997220240151",0
,"MKP/Stock","8997220240007",1
,"MKP/Stock","8997220240250",0
,"MKP/Stock","8997220240182",1
,"MKP/Stock","8997220240205",6
,"MKP/Stock","8997220240168",1
,"MKP/Stock","8997220240175",1
,"MKP/Stock","8997220240076",1
,"MKP/Stock","8997220240083",5
,"MKP/Stock","8994942006669",0
,"MKP/Stock","8994942006096",0
,"MKP/Stock","9555163307332",0
,"MKP/Stock","9556564126010",0
,"MKP/Stock","8997013610024",6
,"MKP/Stock","FG-3401528521157",0
,"MKP/Stock","FG-BIO-SNP500",32
,"MKP/Stock","Gift-00076",5
,"MKP/Stock","FarmaFest-FM20",16
,"MKP/Stock","FarmaFest-FM50",8
,"MKP/Stock","Gift-00075",89
,"MKP/Stock","Gift-00078",40
,"MKP/Stock","Gift-00070",11
,"MKP/Stock","Gift-00041",21
,"MKP/Stock","Gift-00007",2
,"MKP/Stock","Gift-00004",6
,"MKP/Stock","Gift-00009",0
,"MKP/Stock","Gift-00014",1
,"MKP/Stock","Gift-00015",1
,"MKP/Stock","Gift-00011",0
,"MKP/Stock","Freeman-0006",0
,"MKP/Stock","Freeman-0018",0
,"MKP/Stock","18770",0
,"MKP/Stock","Freeman-0015",0
,"MKP/Stock","Freeman-0014",0
,"MKP/Stock","Freeman-0017",28
,"MKP/Stock","18790",0
,"MKP/Stock","Freeman-0012",0
,"MKP/Stock","Freeman-0001",0
,"MKP/Stock","Freeman-0010",0
,"MKP/Stock","Freeman-0011",0
,"MKP/Stock","Freeman-0004",5
,"MKP/Stock","Freeman-0007",16
,"MKP/Stock","Freeman-0008",0
,"MKP/Stock","Freeman-0003",2
,"MKP/Stock","Freeman-0002",4
,"MKP/Stock","Freeman-0005",0
,"MKP/Stock","Freeman-0013-3",1
,"MKP/Stock","Freeman-0009",4
,"MKP/Stock","8998667400191",0
,"MKP/Stock","8998667400351",0
,"MKP/Stock","FREZZA-001",4
,"MKP/Stock","8997279103100",0
,"MKP/Stock","9554100252810B",3
,"MKP/Stock","9554100252841",9
,"MKP/Stock","9554100252865",5
,"MKP/Stock","AGBP190360",2
,"MKP/Stock","8997279103155",0
,"MKP/Stock","8997279105067",1
,"MKP/Stock","9332059000023",19
,"MKP/Stock","9332059000559",21
,"MKP/Stock","9332059000344",24
,"MKP/Stock","9332059000061",37
,"MKP/Stock","9332059000740",12
,"MKP/Stock","9332059000016",15
,"MKP/Stock","9332059000351",24
,"MKP/Stock","GAIA-NB-SK-1",4
,"MKP/Stock","8997212780016",0
,"MKP/Stock","8997212780016-5",0
,"MKP/Stock","8997212780047",0
,"MKP/Stock","6902395661139",0
,"MKP/Stock","6970175256837",0
,"MKP/Stock","8994993002429",1
,"MKP/Stock","8992304019524",0
,"MKP/Stock","8992304082221",0
,"MKP/Stock","8992304096273",3
,"MKP/Stock","8994993003662",0
,"MKP/Stock","8992304046940",0
,"MKP/Stock","7702018001538",6
,"MKP/Stock","4902430508865",9
,"MKP/Stock","4902430733298",2
,"MKP/Stock","4902430733021",0
,"MKP/Stock","7702018880010",0
,"MKP/Stock","8888826016243",4
,"MKP/Stock","47400245105",0
,"MKP/Stock","9556149001053",14
,"MKP/Stock","47400247307",4
,"MKP/Stock","7702018080984",9
,"MKP/Stock","7702018977819",12
,"MKP/Stock","3014260220051",6
,"MKP/Stock","3014260214692",1
,"MKP/Stock","47400179349",7
,"MKP/Stock","7702018996575",7
,"MKP/Stock","4902430689380",8
,"MKP/Stock","3014260274917",16
,"MKP/Stock","4902430792851",0
,"MKP/Stock","7702018038183",8
,"MKP/Stock","8888826016182",8
,"MKP/Stock","3014260301705",0
,"MKP/Stock","8888826016175",11
,"MKP/Stock","7702018366262",14
,"MKP/Stock","4902430875905",12
,"MKP/Stock","8858947820616",4
,"MKP/Stock","8858947820517",4
,"MKP/Stock","8858947820319",4
,"MKP/Stock","8858947820814",1
,"MKP/Stock","8858947820128",1
,"MKP/Stock","Gift-00081",8
,"MKP/Stock","8992821102983",0
,"MKP/Stock","8992821102471",0
,"MKP/Stock","8992821102457",0
,"MKP/Stock","8992821102730",8
,"MKP/Stock","8992821101771",2
,"MKP/Stock","8992821101757",0
,"MKP/Stock","8992821101764",3
,"MKP/Stock","8992821101788",4
,"MKP/Stock","4901417628985",4
,"MKP/Stock","4901417630681",2
,"MKP/Stock","4901417628978",4
,"MKP/Stock","4901417630995",4
,"MKP/Stock","VP-CETAPHIL-002",12
,"MKP/Stock","8999777765392",0
,"MKP/Stock","8809532220212",0
,"MKP/Stock","8809532220205",7
,"MKP/Stock","8809532220199",9
,"MKP/Stock","4902430110648",19
,"MKP/Stock","4902430753357",0
,"MKP/Stock","4902430752725",0
,"MKP/Stock","4987176047083",9
,"MKP/Stock","4902430110747",0
,"MKP/Stock","FO-4902430110747",0
,"MKP/Stock","4987176046369",9
,"MKP/Stock","4987176046352",9
,"MKP/Stock","4902430430715",3
,"MKP/Stock","4902430102254",0
,"MKP/Stock","4902430400671",15
,"MKP/Stock","4902430565585",11
,"MKP/Stock","4902430506977",14
,"MKP/Stock","4902430582704",4
,"MKP/Stock","4902430102247",0
,"MKP/Stock","4902430411776",44
,"MKP/Stock","4902430281331",364
,"MKP/Stock","4902430397964",136
,"MKP/Stock","4902430706056",3
,"MKP/Stock","4902430507066",4
,"MKP/Stock","4902430506939",2
,"MKP/Stock","4902430553643",74
,"MKP/Stock","4902430556392",336
,"MKP/Stock","4902430553692",0
,"MKP/Stock","4902430553650",58
,"MKP/Stock","4902430876186",1
,"MKP/Stock","4902430307901",73
,"MKP/Stock","4902430397827",12
,"MKP/Stock","4902430430999",0
,"MKP/Stock","4902430869126",36
,"MKP/Stock","4987176046284",9
,"MKP/Stock","4902430752695",33
,"MKP/Stock","4902430752701",115
,"MKP/Stock","4902430753340",8
,"MKP/Stock","4902430752619",8
,"MKP/Stock","4902430752626",214
,"MKP/Stock","4902430869140",4
,"MKP/Stock","8999908210005",19
,"MKP/Stock","8999908386809",14
,"MKP/Stock"," 8999908386809",0
,"MKP/Stock","8999908205506",19
,"MKP/Stock","8001090222879",14
,"MKP/Stock","8001090222459",17
