"Inventory Reference","Inventories/Location","Inventories/Product","Inventories / Counted Quantity"
,"TMG/Stock","3468080405202",0
,"TMG/Stock","FA00154",101
,"TMG/Stock","FM-WX102023871",0
,"TMG/Stock","CTN-FM-WX102023871-18",0
,"TMG/Stock","FA00157",60
,"TMG/Stock","FA-01029",0
,"TMG/Stock","8995201800042",10
,"TMG/Stock","FM-WX10202106",2
,"TMG/Stock","8995201800707",8
,"TMG/Stock","8995201800011",14
,"TMG/Stock","8995201800028",6
,"TMG/Stock","8995201800196",8
,"TMG/Stock","8995201800035",7
,"TMG/Stock","FM-WX10202108",7
,"TMG/Stock","FM-WX10202527",0
,"TMG/Stock","8992858619317",20
,"TMG/Stock","8992858619218",0
,"TMG/Stock","F08G0009",-10
,"TMG/Stock","F02L0003",0
,"TMG/Stock","FA-01210",15
,"TMG/Stock","F02L0004",0
,"TMG/Stock","FA-01211",15
,"TMG/Stock","F02L0005",30
,"TMG/Stock","F02L0006",0
,"TMG/Stock","FA-01209",0
,"TMG/Stock","FA-01212",0
,"TMG/Stock","FM-WX10202379",30
,"TMG/Stock","FM-WX10202112",0
,"TMG/Stock","FM-WX10202113",0
,"TMG/Stock","8998777141595",0
,"TMG/Stock","8998777140062",0
,"TMG/Stock","FM-WX10202102",0
,"TMG/Stock","8998777140178",12
,"TMG/Stock","FM-WX10202111",0
,"TMG/Stock","FA-0006",3
,"TMG/Stock","8998777140604",0
,"TMG/Stock","8998777143216",0
,"TMG/Stock","FA00161",6
,"TMG/Stock","FA-0037",1
,"TMG/Stock","8998777143100",5
,"TMG/Stock","FA-0008",107
,"TMG/Stock","FA00163",5
,"TMG/Stock","FA00164",5
,"TMG/Stock","8998103100906",0
,"TMG/Stock","8888103209108",0
,"TMG/Stock","8888103007513",0
,"TMG/Stock","8888103209115",0
,"TMG/Stock","8998103010267",0
,"TMG/Stock","8998103101118",0
,"TMG/Stock","8998103011776",0
,"TMG/Stock","8998103100982",0
,"TMG/Stock","8998103008165",0
